timestamp,DL_bitrate
0.0,222
0.0,8
1.0,8
1.0,1
3.0,0
4.0,35
5.0,0
6.0,0
7.0,0
8.0,149
9.0,149
9.0,3681
10.0,19121
11.0,13847
13.0,17360
14.0,10999
15.0,13204
16.0,15966
17.0,20216
18.0,11607
19.0,15639
20.0,14326
22.0,4708
23.0,2
23.0,2
24.0,15470
25.0,15999
26.0,14373
27.0,15000
28.0,22277
30.0,13659
31.0,14997
32.0,16699
33.0,22449
34.0,15764
35.0,5341
36.0,1
37.0,1
37.0,6749
39.0,16707
40.0,15375
41.0,15790
42.0,18652
43.0,18419
44.0,17140
45.0,15969
46.0,11926
48.0,8497
49.0,8497
50.0,0
51.0,0
52.0,16763
53.0,16330
54.0,9405
55.0,14892
57.0,18306
58.0,11223
59.0,9429
60.0,11254
61.0,11230
62.0,11204
63.0,2712
64.0,2712
65.0,2
65.0,2
66.0,15160
67.0,12415
68.0,10051
69.0,10171
70.0,14429
71.0,17839
72.0,14375
73.0,10555
75.0,12960
76.0,14186
77.0,6504
78.0,1
78.0,1
79.0,11282
80.0,20158
81.0,17249
83.0,12711
84.0,7824
84.0,7824
85.0,7429
86.0,8285
87.0,6060
88.0,7426
89.0,11165
91.0,16075
92.0,0
92.0,0
93.0,3548
94.0,13166
95.0,8962
95.0,8962
96.0,9057
97.0,9494
98.0,9675
99.0,13247
101.0,10867
102.0,9698
103.0,8659
105.0,3144
106.0,3144
106.0,2
106.0,2
107.0,13673
108.0,16977
110.0,16329
111.0,18683
112.0,9529
113.0,10231
114.0,10627
115.0,8980
116.0,10006
119.0,10853
119.0,10853
120.0,1
120.0,1
121.0,3617
122.0,6053
123.0,9050
124.0,11297
125.0,16034
127.0,6818
128.0,8986
129.0,10792
130.0,9837
131.0,9867
132.0,10230
133.0,0
134.0,0
134.0,3409
136.0,14213
137.0,11853
137.0,11853
138.0,6055
139.0,703
140.0,2613
141.0,12577
142.0,6598
144.0,10702
144.0,10702
145.0,13310
147.0,3794
148.0,3794
148.0,114
149.0,10654
150.0,11164
151.0,7366
152.0,7366
153.0,7044
154.0,8525
155.0,11616
156.0,11709
157.0,7890
158.0,6686
159.0,9226
160.0,6010
161.0,6010
162.0,2
162.0,2
163.0,5998
164.0,9405
165.0,12593
166.0,13879
167.0,9688
168.0,10733
170.0,8567
170.0,8567
171.0,7824
172.0,16795
173.0,10060
174.0,6297
175.0,0
176.0,0
176.0,6859
177.0,10346
179.0,5694
180.0,9382
181.0,11366
182.0,11820
183.0,15529
184.0,15370
185.0,12363
187.0,11312
188.0,13151
188.0,13151
189.0,0
190.0,0
190.0,1705
191.0,1705
191.0,11936
192.0,10446
193.0,7433
195.0,9772
196.0,9268
197.0,11920
198.0,10719
198.0,10719
199.0,12307
200.0,7291
201.0,9970
202.0,3733
203.0,2
204.0,2
205.0,12653
206.0,15618
207.0,15457
207.0,15457
208.0,14231
209.0,18387
210.0,14765
211.0,13637
213.0,15385
214.0,9856
217.0,2
217.0,2
218.0,10797
219.0,19077
220.0,17171
222.0,16192
223.0,14784
224.0,11596
225.0,10304
226.0,13443
227.0,15536
228.0,15536
228.0,12253
231.0,589
231.0,589
232.0,3107
233.0,17232
234.0,6713
235.0,12038
236.0,12038
236.0,9021
237.0,7510
238.0,9312
240.0,8342
241.0,10822
242.0,11697
244.0,4800
245.0,2
245.0,2
246.0,13919
247.0,8561
249.0,7513
250.0,7997
250.0,7997
251.0,6622
252.0,8598
253.0,13508
254.0,10853
255.0,12206
258.0,8393
258.0,8393
259.0,3
259.0,3
260.0,9038
261.0,13029
262.0,5866
263.0,11
264.0,11
265.0,11
266.0,0
267.0,1130
268.0,4033
269.0,19687
270.0,22900
271.0,22900
271.0,28411
271.0,28411
272.0,28411
272.0,0
273.0,0
273.0,4938
275.0,13900
276.0,15813
277.0,15000
278.0,17054
279.0,17054
279.0,15152
280.0,11788
281.0,11857
283.0,13906
284.0,11287
285.0,15990
286.0,4246
286.0,4246
287.0,4246
287.0,202
288.0,69047
289.0,78013
290.0,83335
292.0,103964
293.0,124362
293.0,124362
294.0,135749
295.0,141256
296.0,150401
297.0,148164
298.0,150032
299.0,78823
300.0,2
301.0,2
301.0,2
302.0,11998
303.0,21131
304.0,22201
305.0,22899
306.0,20117
307.0,19443
308.0,18019
309.0,18019
309.0,17473
311.0,13396
312.0,10280
314.0,0
315.0,0
315.0,2810
316.0,7520
317.0,7520
317.0,10954
319.0,9187
320.0,10096
321.0,8915
322.0,8104
323.0,9358
324.0,9288
325.0,9288
325.0,59190
326.0,98590
328.0,10425
329.0,10425
329.0,3
330.0,7788
331.0,7824
332.0,9111
333.0,9111
333.0,7464
334.0,35138
336.0,60864
337.0,77510
338.0,154285
339.0,164656
340.0,154124
340.0,154124
341.0,109857
342.0,1
342.0,1
343.0,11743
344.0,17945
346.0,17692
347.0,17411
348.0,17269
348.0,17269
349.0,18726
350.0,15654
351.0,15934
352.0,18625
355.0,15106
355.0,15106
356.0,0
356.0,0
357.0,1266
358.0,14693
359.0,23746
360.0,27214
361.0,27008
362.0,27008
363.0,36390
364.0,37452
365.0,40669
366.0,40246
367.0,44482
369.0,33450
369.0,33450
369.0,19848
370.0,19848
370.0,2
372.0,6797
373.0,9126
374.0,9342
375.0,9948
377.0,8966
378.0,5669
380.0,6519
381.0,5859
383.0,2437
384.0,2
384.0,2
385.0,2
385.0,3690
386.0,6392
387.0,8514
389.0,6519
390.0,9018
391.0,9641
392.0,8263
393.0,9132
394.0,7784
395.0,7962
397.0,7737
397.0,44
398.0,44
399.0,1136
400.0,7618
401.0,1489
402.0,8599
403.0,8943
404.0,8220
405.0,8220
405.0,9295
406.0,5224
407.0,9062
408.0,8745
411.0,5428
412.0,1
412.0,1
413.0,3952
413.0,3952
414.0,5588
415.0,9848
416.0,9677
417.0,13354
418.0,9464
420.0,7759
420.0,7759
421.0,9744
422.0,8029
423.0,6738
425.0,892
426.0,892
426.0,169
427.0,169
427.0,7102
428.0,8172
430.0,9574
431.0,10022
432.0,8290
433.0,7669
434.0,10904
434.0,10904
435.0,6422
436.0,10672
437.0,8480
