time,segment-number,current-bitrate,last-bitrate,rebuffering,throughput,bitrate-variation,buffer-length,dropped-frames,cpu-pressure,memory-pressure,latency,end-of-video,protocol
1752571851,0,399733.742,399733.742,0,486962,399734.742,0,0,3.39,0.05,0,FALSE,http2
1752571853,1,399733.742,399733.742,1.963,486962,0,2,0,3.38,0.05,0.021,FALSE,http3
1752571856,2,399733.742,399733.742,0,461823,0,1.935,0,3.82,0.05,0.01,FALSE,http3
1752571858,3,299800.408,399733.742,0,411040,-99933.334,1.371,7,4.35,0.05,0,FALSE,http3
1752571861,4,199867.075,299800.408,0,342573,-99933.333,0.823,14,5.29,0.04,0,FALSE,http3
1752571862,5,199867.075,199867.075,0,311373,0,1.335,23,5.29,0.04,0.038,FALSE,http3
1752571864,6,199867.075,199867.075,0,312251,0,2.292,50,5.97,0.04,0.026,FALSE,http3
1752571866,7,199867.075,199867.075,0,305899,0,2.702,50,6.59,0.04,0.015,FALSE,http3
1752571867,8,199867.075,199867.075,0,313814,0,3.171,50,7.29,0.04,0.096,FALSE,http3
1752571868,9,299800.408,199867.075,0,336787,99933.333,3.892,50,7.29,0.04,0,FALSE,http3
1752571870,10,299800.408,299800.408,0,354833,0,4.144,50,7.64,0.04,0.009,FALSE,http3
1752571872,11,299800.408,299800.408,0,361186,0,4.301,50,8.01,0.03,0.014,FALSE,http3
1752571874,12,199867.075,299800.408,0,375090,-99933.333,4.548,50,8.44,0.03,0,FALSE,http3
1752571875,13,199867.075,199867.075,0,381003,0,5.22,50,8.75,0.03,0.066,FALSE,http3
1752571876,14,199867.075,199867.075,0,386003,0,6.056,50,8.75,0.03,0.027,FALSE,http3
1752571878,15,199867.075,199867.075,0,374606,0,6.572,50,9.35,0.03,0.014,FALSE,http3
1752571879,16,199867.075,199867.075,0,379139,0,7.454,50,9.83,0.03,0.013,FALSE,http3
1752571880,17,199867.075,199867.075,0,382790,0,8.149,50,9.83,0.03,0.064,FALSE,http3
1752571881,18,199867.075,199867.075,0,384606,0,8.906,50,10.06,0.03,0.019,FALSE,http3
1752571882,19,199867.075,199867.075,0,389828,0,9.769,50,10.06,0.03,0.023,FALSE,http3
1752571884,20,199867.075,199867.075,0,395373,0,10.628,50,10.29,0.02,0.058,FALSE,http3
1752571885,21,299800.408,199867.075,0,393860,99933.333,11.291,50,10.48,0.02,0,FALSE,http3
1752571887,22,299800.408,299800.408,0,392726,0,11.347,50,10.76,0.02,0.024,FALSE,http3
1752571889,23,299800.408,299800.408,0,393474,0,11.474,50,10.93,0.02,0.012,FALSE,http3
1752571890,24,299800.408,299800.408,0,401018,0,11.832,50,10.93,0.02,0.01,FALSE,http3
1752571892,25,299800.408,299800.408,0,397926,0,11.96,50,11.06,0.02,0.019,FALSE,http3
1752571894,26,299800.408,299800.408,0,403327,0,12.277,50,11.22,0.02,0.009,FALSE,http3
1752571896,27,299800.408,299800.408,0,406307,0,12.5,50,11.44,0.02,0.058,FALSE,http3
1752571897,28,299800.408,299800.408,0,412202,0,12.845,50,11.63,0.02,0.01,FALSE,http3
1752571899,29,299800.408,299800.408,0,410856,0,13.054,50,11.74,0.02,0.016,FALSE,http3
1752571901,30,299800.408,299800.408,0,404011,0,13.194,50,11.88,0.02,0.014,FALSE,http3
1752571903,31,299800.408,299800.408,0,380970,0,13.187,50,12.34,0.02,0.018,FALSE,http3
1752571905,32,299800.408,299800.408,0,372310,0,13.249,50,12.52,0.01,0.012,FALSE,http3
1752571907,33,299800.408,299800.408,0,398596,0,13.516,50,12.52,0.01,0.009,FALSE,http3
1752571909,34,299800.408,299800.408,0,382444,0,13.47,50,12.75,0.01,0.013,FALSE,http3
1752571911,35,299800.408,299800.408,0,376331,0,13.48,50,12.89,0.01,0.015,FALSE,http3
1752571912,36,299800.408,299800.408,0,397696,0,13.877,50,12.89,0.01,0.01,FALSE,http3
1752571914,37,299800.408,299800.408,0,400510,0,14.156,50,13.02,0.01,0.012,FALSE,http3
1752571916,38,299800.408,299800.408,0,402750,0,14.39,50,13.18,0.01,0.009,FALSE,http3
1752571918,39,299800.408,299800.408,0,405418,0,14.67,50,13.34,0.01,0.009,FALSE,http3
1752571919,40,299800.408,299800.408,0,402903,0,14.858,50,13.53,0.01,0.01,FALSE,http3
1752571922,41,299800.408,299800.408,0,360813,0,14.654,50,13.54,0.01,0.007,FALSE,http3
1752571923,42,299800.408,299800.408,0,379262,0,14.905,50,13.72,0.01,0.016,FALSE,http3
1752571925,43,299800.408,299800.408,0,379366,0,15.029,50,13.96,0.01,0.008,FALSE,http3
1752571927,44,299800.408,299800.408,0,391353,0,15.304,50,14.06,0.01,0.014,FALSE,http3
1752571929,45,299800.408,299800.408,0,370647,0,15.252,50,14.42,0.01,0.016,FALSE,http3
1752571931,46,299800.408,299800.408,0,391167,0,15.526,50,14.42,0.01,0.01,FALSE,http3
1752571932,47,299800.408,299800.408,0,393662,0,15.757,50,14.5,0.01,0.013,FALSE,http3
1752571934,48,299800.408,299800.408,0,395224,0,15.968,50,14.58,0,0.017,FALSE,http3
1752571936,49,299800.408,299800.408,0,393418,0,16.105,50,14.76,0,0.011,FALSE,http3
1752571938,50,299800.408,299800.408,0,388427,0,16.236,50,14.9,0,0.008,FALSE,http3
1752571940,51,299800.408,299800.408,0,392970,0,16.435,50,15.03,0,0.012,FALSE,http3
1752571942,52,299800.408,299800.408,0,392227,0,16.597,50,15.2,0,0.012,FALSE,http3
1752571945,53,199867.075,299800.408,0,287561,-99933.333,15.467,50,15.19,0,0,FALSE,http3
1752571946,54,199867.075,199867.075,0,319383,0,16.284,50,15.05,0,0.015,FALSE,http3
1752571947,55,199867.075,199867.075,0,337268,0,17.013,50,15.12,0,0.016,FALSE,http3
1752571948,56,199867.075,199867.075,0,360349,0,17.857,50,15.12,0,0.015,FALSE,http3
1752571950,57,199867.075,199867.075,0,366022,0,17.842,50,15.18,0,0.016,FALSE,http3
1752571953,58,199867.075,199867.075,0,371942,0,17.717,50,15.04,0,0.009,FALSE,http3
1752571954,59,199867.075,199867.075,0,371645,0,17.824,50,14.87,0,0.011,FALSE,http3
1752571957,60,199867.075,199867.075,0,376799,0,17.634,50,15.04,0,0.011,FALSE,http3
1752571959,61,199867.075,199867.075,0,380042,0,17.482,50,14.88,0,0.011,FALSE,http3
1752571960,62,299800.408,199867.075,0,385726,99933.333,17.725,50,14.78,0,0,FALSE,http3
1752571962,63,299800.408,299800.408,0,391100,0,17.959,50,14.79,0,0.009,FALSE,http3
1752571964,64,299800.408,299800.408,0,395281,0,17.812,50,14.89,0,0.014,FALSE,http3
1752571966,65,299800.408,299800.408,0,397571,0,17.969,50,14.86,0,0.01,FALSE,http3
1752571968,66,299800.408,299800.408,0,403827,0,17.885,50,15,0,0.01,FALSE,http3
1752571971,67,299800.408,299800.408,0,411486,0,17.755,50,14.97,0,0.008,FALSE,http3
1752571972,68,299800.408,299800.408,0,413054,0,17.932,50,14.9,0,0.01,FALSE,http3
1752571975,69,299800.408,299800.408,0,410610,0,17.639,50,15.04,0,0.015,FALSE,http3
1752571977,70,299800.408,299800.408,0,420512,0,17.731,50,14.94,0,0.018,FALSE,http3
1752571978,71,299800.408,299800.408,0,424167,0,17.943,50,14.87,0,0.009,FALSE,http3
1752571981,72,299800.408,299800.408,0,424146,0,17.716,50,15.01,0,0.024,FALSE,http3
1752571983,73,299800.408,299800.408,0,431872,0,17.59,50,14.97,0,0.011,FALSE,http3
1752571984,74,299800.408,299800.408,0,434470,0,17.95,50,14.88,0,0.016,FALSE,http3
1752571987,75,299800.408,299800.408,0,428371,0,17.715,50,14.91,0,0.007,FALSE,http3
1752571989,76,299800.408,299800.408,0,433121,0,17.591,50,15.05,0,0.007,FALSE,http3
1752571991,77,299800.408,299800.408,0,442839,0,17.637,50,14.88,0,0.008,FALSE,http3
1752571993,78,399733.742,299800.408,0,448715,99933.334,17.505,50,14.72,0,0,FALSE,http3
1752571995,79,399733.742,399733.742,0,420904,0,16.975,50,14.52,0,0.058,FALSE,http3
1752571997,80,399733.742,399733.742,0,435723,0,16.873,50,14.47,0,0.011,FALSE,http3
1752571999,81,399733.742,399733.742,0,437682,0,16.746,50,14.42,0,0.01,FALSE,http3
1752572001,82,399733.742,399733.742,0,445140,0,16.74,50,14.44,0,0.012,FALSE,http3
1752572004,83,399733.742,399733.742,0,443716,0,16.576,50,14.36,0,0.01,FALSE,http3
1752572006,84,399733.742,399733.742,0,439247,0,16.403,50,14.31,0,0.012,FALSE,http3
1752572008,85,399733.742,399733.742,0,441934,0,16.276,50,14.33,0,0.011,FALSE,http3
1752572010,86,399733.742,399733.742,0,439656,0,16.111,50,14.39,0,0.012,FALSE,http3
1752572012,87,399733.742,399733.742,0,436248,0,15.927,50,14.41,0,0.016,FALSE,http3
1752572014,88,399733.742,399733.742,0,441417,0,15.824,50,14.36,0,0.01,FALSE,http3
1752572017,89,399733.742,399733.742,0,441594,0,15.693,50,14.32,0,0.013,FALSE,http3
1752572019,90,399733.742,399733.742,0,412789,0,15.22,50,14.41,0,0.011,FALSE,http3
1752572021,91,399733.742,399733.742,0,416223,0,15.007,50,14.76,0,0.009,FALSE,http3
1752572023,92,399733.742,399733.742,0,424202,0,14.835,50,14.77,0,0.007,FALSE,http3
1752572026,93,399733.742,399733.742,0,422072,0,14.599,50,14.78,0,0.009,FALSE,http3
1752572028,94,399733.742,399733.742,0,429576,0,14.522,50,14.85,0,0.01,FALSE,http3
1752572030,95,399733.742,399733.742,0,432684,0,14.409,50,14.92,0,0.011,FALSE,http3
1752572032,96,399733.742,399733.742,0,435748,0,14.291,50,14.89,0,0.008,FALSE,http3
1752572034,97,399733.742,399733.742,0,436352,0,14.157,50,14.89,0,0.01,FALSE,http3
1752572036,98,399733.742,399733.742,0,435169,0,13.996,50,14.93,0,0.011,FALSE,http3
1752572038,99,399733.742,399733.742,0,434527,0,13.82,50,14.93,0,0.008,FALSE,http3
1752572041,100,399733.742,399733.742,0,431226,0,13.584,50,14.9,0,0.011,FALSE,http3
1752572043,101,399733.742,399733.742,0,429829,0,13.344,50,14.94,0,0.011,FALSE,http3
1752572045,102,399733.742,399733.742,0,421942,0,12.985,50,14.94,0,0.008,FALSE,http3
1752572047,103,399733.742,399733.742,0,434006,0,12.931,50,15.17,0,0.009,FALSE,http3
1752572049,104,399733.742,399733.742,0,436140,0,12.803,50,15.16,0,0.012,FALSE,http3
1752572051,105,399733.742,399733.742,0,443644,0,12.792,50,15.09,0,0.009,FALSE,http3
1752572053,106,399733.742,399733.742,0,447205,0,12.719,50,15.09,0,0.009,FALSE,http3
1752572056,107,399733.742,399733.742,0,444314,0,12.551,50,14.99,0,0.009,FALSE,http3
1752572058,108,399733.742,399733.742,0,449978,0,12.53,50,14.92,0,0.012,FALSE,http3
1752572060,109,399733.742,399733.742,0,449830,0,12.401,50,14.89,0,0.013,FALSE,http3
1752572062,110,399733.742,399733.742,0,449370,0,12.271,50,14.8,0,0.011,FALSE,http3
1752572064,111,399733.742,399733.742,0,444588,0,12.116,50,14.77,0,0.01,FALSE,http3
1752572066,112,399733.742,399733.742,0,433779,0,11.894,50,14.71,0,0.01,FALSE,http3
1752572068,113,399733.742,399733.742,0,436126,0,11.729,50,14.69,0,0.01,FALSE,http3
1752572071,114,399733.742,399733.742,0,434161,0,11.323,50,14.63,0,0.01,FALSE,http3
1752572073,115,399733.742,399733.742,0,427876,0,11.099,50,14.78,0,0.016,FALSE,http3
1752572075,116,399733.742,399733.742,0,430828,0,10.935,50,14.95,0,0.009,FALSE,http3
1752572077,117,399733.742,399733.742,0,440119,0,10.898,50,14.89,0,0.011,FALSE,http3
1752572079,118,299800.408,399733.742,0,439856,-99933.334,10.737,50,14.89,0,0,FALSE,http3
1752572081,119,299800.408,299800.408,0,440179,0,11.068,50,14.93,0,0.013,FALSE,http3
1752572083,120,299800.408,299800.408,0,441609,0,11.41,50,14.93,0,0.01,FALSE,http3
1752572084,121,299800.408,299800.408,0,442073,0,11.801,50,14.86,0,0.012,FALSE,http3
1752572086,122,299800.408,299800.408,0,439624,0,12.17,50,14.9,0,0.008,FALSE,http3
1752572088,123,299800.408,299800.408,0,440963,0,12.552,50,14.84,0,0.008,FALSE,http3
1752572089,124,299800.408,299800.408,0,444011,0,12.985,50,14.88,0,0.01,FALSE,http3
1752572091,125,299800.408,299800.408,0,442451,0,13.335,50,14.88,0,0.015,FALSE,http3
1752572093,126,299800.408,299800.408,0,438833,0,13.617,50,14.85,0,0.009,FALSE,http3
1752572094,127,299800.408,299800.408,0,429736,0,13.893,50,14.88,0,0.012,FALSE,http3
1752572096,128,299800.408,299800.408,0,443974,0,14.424,50,14.89,0,0.005,FALSE,http3
1752572097,129,399733.742,299800.408,0,445381,99933.334,14.8,50,14.86,0,0,FALSE,http3
1752572099,130,399733.742,399733.742,0,450491,0,14.732,50,14.83,0,0.01,FALSE,http3
1752572102,131,399733.742,399733.742,0,450858,0,14.636,50,14.87,0,0.013,FALSE,http3
1752572104,132,399733.742,399733.742,0,436669,0,14.401,50,14.87,0,0.012,FALSE,http3
