time,segment-number,current-bitrate,last-bitrate,rebuffering,throughput,bitrate-variation,buffer-length,dropped-frames,cpu-pressure,memory-pressure,latency,end-of-video,protocol
1752643044,0,399733.742,299800.408,0,549498,99933.334,10,0,4.38,0.02,0,'False','http2'
1752643046,1,399733.742,399733.742,0,528581,0,8.414,0,4.63,0.02,0.009,'False','http2'
1752643048,3,499667.075,399733.742,0,572779,99933.333,6.664,0,4.63,0.02,0,'False','http2'
1752643050,4,499667.075,499667.075,0,621464,0,4.712,0,5.07,0.02,0.017,'False','http2'
1752643052,5,399733.742,499667.075,0,553701,-99933.333,2.073,0,6.04,0.02,0,'False','http2'
1752643054,6,499667.075,399733.742,0,556551,99933.333,2.147,0,6.79,0.02,0,'False','http2'
1752643057,7,399733.742,499667.075,0,506762,-99933.333,1.362,2,7.12,0.02,0,'False','http2'
1752643061,8,399733.742,399733.742,0,330508,-399233.867,0,7,7.98,0.01,0,'False','http2'
1752643061,9,199867.075,399733.742,0.196,330508,0,1.417,7,7.98,0.01,0,'False','http2'
1752643062,10,199867.075,199867.075,0,329445,0,2.876,61,8.57,0.01,0.046,'False','http2'
1752643064,11,299800.408,199867.075,0,340564,99933.333,3.47,61,9.3,0.01,0,'False','http2'
1752643066,12,299800.408,299800.408,0,392029,0,3.83,61,9.3,0.01,0.011,'False','http2'
1752643067,13,299800.408,299800.408,0,433268,0,4.448,61,9.82,0.01,0.019,'False','http2'
1752643068,14,399733.742,299800.408,0,448932,99933.334,4.974,61,10.35,0.01,0,'False','http2'
1752643071,15,299800.408,399733.742,0,428489,-99933.334,4.433,61,11.12,0.01,0,'False','http2'
1752643073,16,299800.408,299800.408,0,438592,0,4.799,61,11.93,0.01,0.017,'False','http2'
1752643074,17,299800.408,299800.408,0,445455,0,5.219,61,12.33,0.01,0.009,'False','http2'
1752643076,18,299800.408,299800.408,0,442745,0,5.471,61,12.33,0.01,0.018,'False','http2'
1752643077,19,299800.408,299800.408,0,452056,0,5.906,61,13.01,0.07,0.019,'False','http2'
1752643079,20,299800.408,299800.408,0,455972,0,6.304,61,13.53,0.07,0.026,'False','http2'
1752643081,21,299800.408,299800.408,0,460098,0,6.713,61,13.81,0.07,0.012,'False','http2'
1752643082,22,299800.408,299800.408,0,462828,0,7.056,61,14.3,0.1,0.016,'False','http2'
1752643084,23,299800.408,299800.408,0,468649,0,7.523,61,14.3,0.1,0.014,'False','http2'
1752643086,24,399733.742,299800.408,0,472602,99933.334,7.834,61,14.65,0.09,0,'False','http2'
1752643088,25,399733.742,399733.742,0,472375,0,7.553,61,15.12,0.09,0.058,'False','http2'
1752643090,26,399733.742,399733.742,0,459795,0,7.321,61,15.69,0.08,0.011,'False','http2'
1752643092,27,399733.742,399733.742,0,469658,0,7.286,61,15.99,0.08,0.021,'False','http2'
1752643094,28,399733.742,399733.742,0,480418,0,7.349,61,16.42,0.08,0.013,'False','http2'
1752643096,29,399733.742,399733.742,0,485169,0,7.332,61,16.77,0.08,0.013,'False','http2'
1752643098,30,399733.742,399733.742,0,482207,0,7.188,61,17.04,0.07,0.013,'False','http2'
1752643100,31,399733.742,399733.742,0,481913,0,7.1,61,17.26,0.07,0.064,'False','http2'
1752643102,32,399733.742,399733.742,0,468560,0,6.906,61,17.55,0.07,0.012,'False','http2'
1752643104,33,399733.742,399733.742,0,490557,0,7.09,61,17.79,0.06,0.017,'False','http2'
1752643107,34,399733.742,399733.742,0,454592,0,6.674,61,17.87,0.06,0.015,'False','http2'
1752643109,35,399733.742,399733.742,0,459046,0,6.573,61,18.26,0.06,0.008,'False','http2'
1752643111,36,399733.742,399733.742,0,482364,0,6.664,61,18.52,0.06,0.018,'False','http2'
1752643113,37,399733.742,399733.742,0,490693,0,6.75,61,18.63,0.05,0.022,'False','http2'
1752643115,38,399733.742,399733.742,0,490622,0,6.73,61,18.9,0.05,0.01,'False','http2'
1752643117,39,399733.742,399733.742,0,490192,0,6.675,61,19.23,0.05,0.012,'False','http2'
1752643119,40,399733.742,399733.742,0,454430,0,6.371,61,19.46,0.05,0.011,'False','http2'
1752643121,41,399733.742,399733.742,0,488928,0,6.55,61,19.44,0.05,0.012,'False','http2'
1752643123,42,399733.742,399733.742,0,482869,0,6.422,61,19.66,0.04,0.012,'False','http2'
1752643125,43,399733.742,399733.742,0,487175,0,6.439,61,19.9,0.04,0.012,'False','http2'
1752643127,44,399733.742,399733.742,0,489752,0,6.332,61,20.26,0.04,0.017,'False','http2'
1752643130,45,299800.408,399733.742,0,433405,-99933.334,5.656,61,20.71,0.04,0,'False','http2'
1752643131,46,299800.408,299800.408,0,441862,0,5.879,61,21.6,0.04,0.016,'False','http2'
1752643133,47,299800.408,299800.408,0,451476,0,6.235,61,21.81,0.04,0.012,'False','http2'
1752643135,48,299800.408,299800.408,0,417464,0,6.295,61,22.14,0.03,0.017,'False','http2'
1752643137,49,299800.408,299800.408,0,440758,0,6.729,61,22.53,0.03,0.018,'False','http2'
1752643138,50,299800.408,299800.408,0,454145,0,7.136,61,22.65,0.03,0.015,'False','http2'
