time,segment-number,current-bitrate,last-bitrate,rebuffering,throughput,bitrate-variation,buffer-length,dropped-frames,cpu-pressure,memory-pressure,latency,end-of-video,protocol
1752575596,0,399733.742,399733.742,0,95743,399734.742,0,0,7.7,0,0,FALSE,'http2'
1752575604,1,499.875,399733.742,7.853,95743,-399233.867,2,0,6.74,0,0,FALSE,'http3'
1752575607,2,19987.346,79946.895,0,84019,-59959.549,16.906,0,6.76,0,0,FALSE,'http3'
1752575608,3,19987.346,19987.346,0,85943,0,16.453,0,6.76,0,0.011,FALSE,'http3'
1752575608,4,19987.346,19987.346,0,87703,0,15.993,0,6.76,0,0.007,FALSE,'http3'
1752575609,5,19987.346,19987.346,0,90181,0,15.602,0,6.76,0,0.011,FALSE,'http3'
1752575609,6,19987.346,19987.346,0,92567,0,15.208,0,6.76,0,0.008,FALSE,'http3'
1752575610,7,19987.346,19987.346,0,93787,0,14.812,0,6.73,0,0.008,FALSE,'http3'
1752575610,8,19987.346,19987.346,0,94877,0,14.395,0,6.73,0,0.008,FALSE,'http3'
1752575610,9,19987.346,19987.346,0,95773,0,13.997,0,6.73,0,0.044,FALSE,'http3'
1752575611,10,19987.346,19987.346,0,97005,0,13.601,0,6.73,0,0.012,FALSE,'http3'
1752575611,11,19987.346,19987.346,0,98192,0,15.259,0,6.73,0,0.008,FALSE,'http3'
1752575611,12,19987.346,19987.346,0,99363,0,16.867,0,6.67,0,0.012,FALSE,'http3'
1752575612,13,19987.346,19987.346,0,100180,0,17.977,0,6.67,0,0.021,FALSE,'http3'
1752575615,14,19987.346,19987.346,0,101249,0,17.585,0,6.62,0,0.009,FALSE,'http3'
1752575617,15,19987.346,19987.346,0,99872,0,17.725,0,6.43,0,0.009,FALSE,'http3'
1752575619,14,79946.895,19987.346,0,98860,59959.549,17.514,0,6.43,0,0,FALSE,'http3'
1752575620,15,79946.895,79946.895,0,101813,0,15.933,0,6.08,0,0.064,FALSE,'http3'
1752575625,16,79946.895,79946.895,0,54891,0,11.614,0,5.89,0,0.008,FALSE,'http3'
1752575626,17,79946.895,79946.895,0,73937,0,11.925,0,5.89,0,0.012,FALSE,'http3'
1752575628,18,79946.895,79946.895,0,86625,0,12.588,0,6.03,0,0.01,FALSE,'http3'
1752575629,19,79946.895,79946.895,0,88331,0,12.812,0,5.99,0,0.012,FALSE,'http3'
1752575631,20,79946.895,79946.895,0,93247,0,13.315,0,5.99,0,0.008,FALSE,'http3'
1752575633,21,79946.895,79946.895,0,97880,0,13.76,0,5.89,0,0.009,FALSE,'http3'
1752575634,22,79946.895,79946.895,0,101206,0,14.265,0,6.03,0,0.016,FALSE,'http3'
1752575636,23,79946.895,79946.895,0,101698,0,14.678,0,6.12,0,0.008,FALSE,'http3'
1752575638,24,79946.895,79946.895,0,94148,0,14.509,0,6.12,0,0.012,FALSE,'http3'
1752575640,25,79946.895,79946.895,0,88966,0,14.485,0,6.12,0,0.01,FALSE,'http3'
1752575641,26,79946.895,79946.895,0,93691,0,14.792,0,6.14,0,0.007,FALSE,'http3'
1752575643,27,79946.895,79946.895,0,97912,0,15.272,0,6.14,0,0.013,FALSE,'http3'
1752575644,28,79946.895,79946.895,0,101195,0,15.813,0,6.14,0,0.013,FALSE,'http3'
1752575646,29,79946.895,79946.895,0,104058,0,16.4,0,6.23,0,0.015,FALSE,'http3'
1752575650,30,79946.895,79946.895,0,90968,0,16.032,0,6.25,0,0.022,FALSE,'http3'
1752575652,30,11992.248,79946.895,0,44148,-67954.647,12.628,0,6.25,0,0,FALSE,'http3'
1752575652,31,11992.248,11992.248,0,46345,0,14.216,0,6.25,0,0.01,FALSE,'http3'
1752575652,32,11992.248,11992.248,0,49520,0,15.859,0,6.17,0,0.011,FALSE,'http3'
1752575653,33,11992.248,11992.248,0,54089,0,17.638,0,6.17,0,0.016,FALSE,'http3'
1752575655,34,11992.248,11992.248,0,58702,0,17.584,0,6.17,0,0.008,FALSE,'http3'
1752575657,35,11992.248,11992.248,0,62272,0,17.724,0,6.06,0,0.009,FALSE,'http3'
1752575659,36,11992.248,11992.248,0,66537,0,17.583,0,5.93,0,0.009,FALSE,'http3'
1752575661,37,11992.248,11992.248,0,70349,0,17.723,0,5.9,0,0.059,FALSE,'http3'
1752575663,38,40019.251,11992.248,0,73073,28027.003,17.368,0,5.77,0,0,FALSE,'http3'
1752575665,39,40019.251,40019.251,0,79800,0,17.723,0,5.68,0,0.012,FALSE,'http3'
1752575667,40,40019.251,40019.251,0,82590,0,17.849,0,5.62,0,0.008,FALSE,'http3'
1752575669,41,40019.251,40019.251,0,85244,0,17.723,0,5.54,0,0.008,FALSE,'http3'
1752575670,42,40019.251,40019.251,0,87621,0,17.848,0,5.39,0,0.007,FALSE,'http3'
1752575673,43,79946.895,40019.251,0,91442,39927.644,17.663,0,5.31,0,0,FALSE,'http3'
1752575674,44,79946.895,79946.895,0,96111,0,17.848,0,5.2,0,0.021,FALSE,'http3'
1752575676,45,79946.895,79946.895,0,100767,0,17.989,0,5.16,0,0.008,FALSE,'http3'
1752575679,46,79946.895,79946.895,0,103523,0,17.582,0,5.05,0,0.007,FALSE,'http3'
1752575680,47,79946.895,79946.895,0,104626,0,17.886,0,5.05,0,0.006,FALSE,'http3'
1752575683,48,79946.895,79946.895,0,106720,0,17.582,0,5.02,0,0.027,FALSE,'http3'
1752575685,49,79946.895,79946.895,0,109053,0,17.723,0,4.98,0,0.008,FALSE,'http3'
1752575687,50,79946.895,79946.895,0,109698,0,17.679,0,4.95,0,0.009,FALSE,'http3'
1752575689,51,99933.667,79946.895,0,112274,19986.772,17.275,0,4.92,0,0,FALSE,'http3'
1752575691,52,99933.667,99933.667,0,116791,0,17.719,0,4.86,0,0.01,FALSE,'http3'
1752575692,53,99933.667,99933.667,0,123333,0,17.973,0,4.86,0,0.012,FALSE,'http3'
1752575695,54,99933.667,99933.667,0,129390,0,17.582,0,4.93,0,0.009,FALSE,'http3'
1752575697,55,99933.667,99933.667,0,134567,0,17.831,0,4.93,0,0.008,FALSE,'http3'
1752575699,56,99933.667,99933.667,0,135727,0,17.845,0,5,0,0.009,FALSE,'http3'
