time,segment-number,current-bitrate,last-bitrate,rebuffering,throughput,bitrate-variation,buffer-length,dropped-frames,cpu-pressure,memory-pressure,latency,end-of-video,protocol
1752648774,0,40019.251,40019.251,0,60318,0,0,0,2.6,0,0,FALSE,'http2'
1752648778,1,40019.251,40019.251,0,71368,0,17.288,0,2.75,0,0,FALSE,'http2'
1752648779,2,40019.251,40019.251,0,60318,0,17.143,0,2.73,0,0,FALSE,'http2'
1752648780,3,40019.251,40019.251,0,71368,0,15.974,0,2.73,0,0.024,FALSE,'http2'
1752648781,4,40019.251,40019.251,0,81254,0,14.927,0,2.96,0,0.012,FALSE,'http2'
1752648782,5,40019.251,40019.251,0,87363,0,14.015,0,2.96,0,0.012,FALSE,'http2'
1752648783,6,40019.251,40019.251,0,92704,0,13.14,0,3.1,0,0.013,FALSE,'http2'
1752648783,7,40019.251,40019.251,0,96549,0,12.337,0,3.1,0,0.014,FALSE,'http2'
1752648784,8,19987.346,40019.251,0,100522,-20031.905,11.505,0,3.1,0,0,FALSE,'http2'
1752648785,9,19987.346,19987.346,0,102155,0,11.134,0,3.29,0,0.018,FALSE,'http2'
1752648785,10,19987.346,19987.346,0,103245,0,10.706,0,3.29,0,0.01,FALSE,'http2'
1752648785,11,19987.346,19987.346,0,104211,0,12.345,0,3.29,0,0.015,FALSE,'http2'
1752648786,12,19987.346,19987.346,0,105432,0,13.954,0,3.29,0,0.011,FALSE,'http2'
1752648786,13,19987.346,19987.346,0,106479,0,15.609,0,3.29,0,0.027,FALSE,'http2'
1752648787,14,19987.346,19987.346,0,107509,0,17.124,0,3.58,0,0.015,FALSE,'http2'
1752648788,15,19987.346,19987.346,0,107621,0,17.907,0,3.58,0,0.016,FALSE,'http2'
1752648790,16,19987.346,19987.346,0,105241,0,17.782,0,3.69,0,0.017,FALSE,'http2'
1752648792,16,79946.895,19987.346,0,103171,59959.549,17.588,0,3.7,0,0,FALSE,'http2'
1752648794,17,79946.895,79946.895,0,105048,0,16.053,0,3.71,0,0.046,FALSE,'http2'
1752648798,18,79946.895,79946.895,0,54764,0,13.834,0,4.01,0,0.018,FALSE,'http2'
1752648799,18,40019.251,79946.895,0,57808,-39927.644,13.157,0,4.11,0,0,FALSE,'http2'
1752648800,19,40019.251,40019.251,0,69696,0,14.286,0,4.11,0,0.203,FALSE,'http2'
1752648800,20,40019.251,40019.251,0,80931,0,15.565,0,4.11,0,0.034,FALSE,'http2'
1752648801,21,40019.251,40019.251,0,85353,0,16.854,0,4.27,0,0.011,FALSE,'http2'
1752648802,22,40019.251,40019.251,0,88837,0,17.985,0,4.27,0,0.017,FALSE,'http2'
1752648804,23,40019.251,40019.251,0,87873,0,17.907,0,4.72,0,0.027,FALSE,'http2'
1752648806,24,40019.251,40019.251,0,91269,0,17.781,0,4.86,0,0.009,FALSE,'http2'
1752648808,25,40019.251,40019.251,0,93365,0,17.922,0,4.96,0,0.034,FALSE,'http2'
1752648811,26,79946.895,40019.251,0,94111,39927.644,17.266,0,5.09,0,0,FALSE,'http2'
1752648813,27,79946.895,79946.895,0,91037,0,17.263,0,5.22,0,0.027,FALSE,'http2'
1752648814,28,79946.895,79946.895,0,91183,0,17.322,0,5.38,0,0.016,FALSE,'http2'
1752648816,29,79946.895,79946.895,0,95278,0,17.815,0,5.38,0,0.016,FALSE,'http2'
1752648818,30,79946.895,79946.895,0,98780,0,17.779,0,5.53,0,0.022,FALSE,'http2'
1752648820,31,79946.895,79946.895,0,100837,0,17.766,0,5.61,0,0.013,FALSE,'http2'
1752648826,32,79946.895,79946.895,0,46954,0,14.678,0,5.61,0,0.01,FALSE,'http2'
1752648827,33,79946.895,79946.895,0,67900,0,14.861,0,5.61,0,0.018,FALSE,'http2'
1752648829,34,79946.895,79946.895,0,78090,0,14.93,0,5.86,0,0.016,FALSE,'http2'
1752648830,35,79946.895,79946.895,0,86558,0,15.616,0,5.86,0,0.011,FALSE,'http2'
1752648832,36,79946.895,79946.895,0,93112,0,16.229,0,6.16,0,0.016,FALSE,'http2'
1752648833,37,79946.895,79946.895,0,97624,0,16.836,0,6.74,0,0.019,FALSE,'http2'
1752648835,38,79946.895,79946.895,0,99084,0,17.136,0,6.74,0,0.018,FALSE,'http2'
1752648836,39,79946.895,79946.895,0,103115,0,17.801,0,6.92,0,0.014,FALSE,'http2'
