time,segment-number,current-bitrate,last-bitrate,rebuffering,throughput,bitrate-variation,buffer-length,dropped-frames,cpu-pressure,memory-pressure,latency,end-of-video,protocol
1752581623,0,199867.075,199867.075,0,567272,199868.075,0,0,3.66,0.16,0,FALSE,'http2'
1752581624,0,499667.075,199867.075,0.847,567272,299800,2,0,3.66,0.16,0,FALSE,'http3'
1752581626,1,199867.075,499667.075,0,468372,-299800,0.668,0,3.71,0.16,0,FALSE,'http3'
1752581627,2,399733.742,199867.075,0,492092,199866.667,1.59,6,4.01,0.15,0,FALSE,'http3'
1752581629,3,399733.742,399733.742,0,469142,0,1.46,9,4.43,0.15,0.073,FALSE,'http3'
1752581632,4,99933.667,399733.742,0,407522,-299800.075,0.547,22,4.94,0.14,0,FALSE,'http3'
1752581633,5,299800.408,99933.667,0,391191,199866.741,1.641,32,5.18,0.14,0,FALSE,'http3'
1752581635,6,299800.408,299800.408,0,395792,0,1.807,38,6.12,0.13,0.066,FALSE,'http3'
1752581637,7,299800.408,299800.408,0,385795,0,1.927,42,6.67,0.13,0.016,FALSE,'http3'
1752581639,8,299800.408,299800.408,0,387483,0,2.088,45,7.04,0.12,0.016,FALSE,'http3'
1752581640,9,299800.408,299800.408,0,403518,0,2.423,45,7.04,0.12,0.032,FALSE,'http3'
1752581642,10,299800.408,299800.408,0,382823,0,2.47,45,7.33,0.12,0.022,FALSE,'http3'
1752581644,11,299800.408,299800.408,0,401221,0,2.713,45,7.94,0.11,0.01,FALSE,'http3'
1752581646,12,299800.408,299800.408,0,410959,0,3.128,45,8.24,0.11,0.015,FALSE,'http3'
1752581647,13,299800.408,299800.408,0,415715,0,3.491,45,8.46,0.11,0.014,FALSE,'http3'
1752581649,14,299800.408,299800.408,0,420990,0,3.9,45,8.74,0.1,0.011,FALSE,'http3'
1752581651,15,299800.408,299800.408,0,395786,0,3.921,45,9.27,0.13,0.012,FALSE,'http3'
1752581653,16,299800.408,299800.408,0,413104,0,4.331,45,9.27,0.13,0.009,FALSE,'http3'
1752581654,17,299800.408,299800.408,0,412459,0,4.63,45,9.56,0.13,0.009,FALSE,'http3'
1752581656,18,299800.408,299800.408,0,423523,0,5.121,45,9.77,0.12,0.011,FALSE,'http3'
1752581657,19,299800.408,299800.408,0,431521,0,5.587,45,9.91,0.15,0.011,FALSE,'http3'
1752581659,20,299800.408,299800.408,0,435817,0,6.007,45,10.01,0.15,0.013,FALSE,'http3'
1752581660,21,299800.408,299800.408,0,443163,0,6.519,45,10.01,0.15,0.014,FALSE,'http3'
1752581662,22,399733.742,299800.408,0,444923,99933.334,6.795,45,10.04,0.14,0,FALSE,'http3'
1752581664,23,399733.742,399733.742,0,451196,0,6.694,45,10.14,0.14,0.01,FALSE,'http3'
1752581698,24,499.875,399733.742,0,107621,-399233.867,0,77,7.41,6.95,0,FALSE,'http3'
1752581698,25,79946.895,499.875,0.274,107600,79447.02,1.118,77,7.46,6.78,0,FALSE,'http3'
1752581699,26,99933.667,79946.895,0,119441,19986.772,2.762,157,7.46,6.78,0,FALSE,'http3'
1752581699,27,99933.667,99933.667,0,137043,0,4.126,157,7.46,6.78,0.015,FALSE,'http3'
1752581700,28,99933.667,99933.667,0,152407,0,5.476,157,7.94,6.56,0.015,FALSE,'http3'
1752581701,29,99933.667,99933.667,0,167585,0,6.809,157,7.94,6.56,0.01,FALSE,'http3'
1752581701,30,99933.667,99933.667,0,182414,0,8.24,157,7.94,6.56,0.008,FALSE,'http3'
1752581702,31,99933.667,99933.667,0,193298,0,9.535,157,8.17,6.35,0.009,FALSE,'http3'
1752581703,32,99933.667,99933.667,0,203402,0,10.855,157,8.17,6.35,0.009,FALSE,'http3'
1752581703,33,99933.667,99933.667,0,213749,0,12.175,157,8.17,6.35,0.015,FALSE,'http3'
1752581704,34,99933.667,99933.667,0,217757,0,13.211,157,8.46,6.14,0.016,FALSE,'http3'
1752581708,35,99933.667,99933.667,0,115574,0,11.172,157,8.7,5.94,0.008,FALSE,'http3'
1752581709,36,99933.667,99933.667,0,146150,0,12.246,157,8.52,5.74,0.011,FALSE,'http3'
1752581710,37,99933.667,99933.667,0,172933,0,13.509,157,8.52,5.74,0.012,FALSE,'http3'
1752581711,38,99933.667,99933.667,0,186773,0,14.916,157,8.52,5.74,0.015,FALSE,'http3'
1752581711,39,99933.667,99933.667,0,196195,0,16.173,157,8.63,5.55,0.014,FALSE,'http3'
1752581712,40,99933.667,99933.667,0,206609,0,17.479,157,8.63,5.55,0.014,FALSE,'http3'
1752581714,41,99933.667,99933.667,0,216579,0,17.89,157,8.94,5.37,0.009,FALSE,'http3'
1752581716,42,199867.075,99933.667,0,228782,99933.408,17.727,157,8.97,5.2,0,FALSE,'http3'
1752581718,43,199867.075,199867.075,0,250571,0,17.624,157,8.84,5.03,0.013,FALSE,'http3'
1752581720,44,199867.075,199867.075,0,265720,0,17.968,157,8.81,4.86,0.007,FALSE,'http3'
1752581722,45,199867.075,199867.075,0,282348,0,17.905,157,8.89,4.7,0.009,FALSE,'http3'
1752581724,46,199867.075,199867.075,0,294397,0,17.999,157,8.82,4.55,0.011,FALSE,'http3'
1752581726,47,199867.075,199867.075,0,307670,0,17.749,157,8.89,4.4,0.008,FALSE,'http3'
1752581728,48,199867.075,199867.075,0,314524,0,17.625,161,8.9,4.25,0.057,FALSE,'http3'
1752581730,49,199867.075,199867.075,0,321323,0,17.701,161,9,4.11,0.052,FALSE,'http3'
1752581732,50,199867.075,199867.075,0,330117,0,17.624,161,9.13,3.98,0.013,FALSE,'http3'
1752581735,51,299800.408,199867.075,0,336563,99933.333,17.23,161,9.09,3.85,0,FALSE,'http3'
1752581736,52,299800.408,299800.408,0,334788,0,17.109,161,9.16,3.72,0.023,FALSE,'http3'
1752581738,53,299800.408,299800.408,0,344177,0,17.197,161,9.15,3.6,0.058,FALSE,'http3'
1752581740,54,299800.408,299800.408,0,357671,0,17.459,161,9.28,3.48,0.008,FALSE,'http3'
1752581742,55,299800.408,299800.408,0,360731,0,17.544,161,9.37,3.37,0.008,FALSE,'http3'
1752581744,56,299800.408,299800.408,0,369245,0,17.84,161,9.58,3.26,0.009,FALSE,'http3'
1752581746,57,299800.408,299800.408,0,377467,0,17.715,161,9.66,3.15,0.013,FALSE,'http3'
1752581748,58,299800.408,299800.408,0,383725,0,17.92,161,9.71,3.05,0.006,FALSE,'http3'
1752581750,59,299800.408,299800.408,0,382319,0,17.623,161,9.78,2.95,0.032,FALSE,'http3'
1752581756,60,299800.408,299800.408,0,134478,0,13.196,161,9.6,2.67,0.008,FALSE,'http3'
1752581758,61,299800.408,299800.408,0,240143,0,13.377,161,9.52,2.58,0.008,FALSE,'http3'
1752581773,62,19987.346,299800.408,0,44359,-279813.062,1.057,165,8.61,2.04,0,FALSE,'http3'
1752581773,63,40019.251,19987.346,0,52838,20031.905,2.674,168,8.36,1.97,0,FALSE,'http3'
1752581773,64,40019.251,40019.251,0,71192,0,4.156,175,8.36,1.97,0.019,FALSE,'http3'
1752581774,65,79946.895,40019.251,0,91105,39927.644,5.886,176,8.36,1.97,0,FALSE,'http3'
1752581774,66,79946.895,79946.895,0,108171,0,7.377,176,8.36,1.97,0.02,FALSE,'http3'
1752581775,67,99933.667,79946.895,0,122639,19986.772,8.856,176,9.03,1.91,0,FALSE,'http3'
1752581775,68,99933.667,99933.667,0,139763,0,10.219,176,9.03,1.91,0.013,FALSE,'http3'
1752581776,69,99933.667,99933.667,0,155334,0,11.557,176,9.03,1.91,0.008,FALSE,'http3'
1752581777,70,99933.667,99933.667,0,170502,0,12.97,176,9.1,1.85,0.022,FALSE,'http3'
1752581777,71,99933.667,99933.667,0,185304,0,14.41,176,9.1,1.85,0.01,FALSE,'http3'
1752581778,72,99933.667,99933.667,0,198804,0,15.837,176,9.1,1.85,0.009,FALSE,'http3'
1752581791,73,11992.248,99933.667,0,18414,-87941.419,4.557,176,9.26,1.78,0,FALSE,'http3'
1752581791,74,19987.346,11992.248,0,26066,7995.098,6.342,176,9.26,1.78,0,FALSE,'http3'
1752581791,75,19987.346,19987.346,0,37834,0,8.132,176,9.26,1.78,0.016,FALSE,'http3'
1752581796,76,40019.251,19987.346,0,50864,20031.905,9.902,176,7.94,1.46,0,FALSE,'http3'
1752581799,77,11992.248,40019.251,0,16996,-28027.003,5.011,176,8.04,1.41,0,FALSE,'http3'
1752581800,78,11992.248,11992.248,0,18952,0,5.76,176,8.04,1.41,0.965,FALSE,'http3'
1752581800,79,19987.346,11992.248,0,24842,7995.098,7.597,176,8.04,1.41,0,FALSE,'http3'
1752581800,80,19987.346,19987.346,0,36020,0,9.381,176,8.04,1.41,0.014,FALSE,'http3'
1752581800,81,19987.346,19987.346,0,43278,0,11.221,176,7.25,1.23,0.019,FALSE,'http3'
