time,segment-number,current-bitrate,last-bitrate,rebuffering,throughput,bitrate-variation,buffer-length,dropped-frames,cpu-pressure,memory-pressure,latency,end-of-video,protocol
1752659138,0,699533.742,99933.667,0.331,819576,599600.075,2,0,2.09,0,0,FALSE,'http2'
1752659140,1,699533.742,699533.742,0,838246,0,1.793,0,2.22,0,0.014,FALSE,'http2'
1752659142,2,699533.742,699533.742,0,837843,0,1.49,5,2.38,0,0.01,FALSE,'http2'
1752659144,3,699533.742,699533.742,0,831686,0,1.245,9,2.79,0,0.02,FALSE,'http2'
1752659147,4,399733.742,699533.742,0,808105,-299800,0.777,18,3.26,0,0,FALSE,'http2'
1752659149,5,699533.742,399733.742,0,778085,299800,1.301,25,3.77,0,0,FALSE,'http2'
1752659151,6,499667.075,699533.742,0,780783,-199866.667,0.985,43,4.37,0,0,FALSE,'http2'
1752659153,7,499667.075,499667.075,0,750036,0,1.093,50,4.68,0,0.016,FALSE,'http2'
1752659155,8,499667.075,499667.075,0,662801,0,1.318,70,5.05,0,0.016,FALSE,'http2'
1752659157,9,599600.408,499667.075,0,722104,99933.333,1.786,89,5.41,0,0,FALSE,'http2'
1752659159,10,599600.408,599600.408,0,767569,0,1.851,90,5.73,0,0.011,FALSE,'http2'
1752659161,11,599600.408,599600.408,0,779000,0,1.905,91,6.16,0,0.019,FALSE,'http2'
1752659162,12,599600.408,599600.408,0,800939,0,2.174,91,6.68,0,0.012,FALSE,'http2'
1752659164,13,599600.408,599600.408,0,804341,0,2.281,91,6.92,0,0.008,FALSE,'http2'
1752659166,14,599600.408,599600.408,0,796296,0,2.32,91,7.08,0,0.009,FALSE,'http2'
1752659168,15,699533.742,599600.408,0,801600,99933.334,2.447,91,7.25,0,0,FALSE,'http2'
1752659170,16,699533.742,699533.742,0,812067,0,2.302,91,7.5,0,0.014,FALSE,'http2'
1752659172,17,699533.742,699533.742,0,821920,0,2.245,91,7.58,0,0.008,FALSE,'http2'
1752659175,18,699533.742,699533.742,0,819090,0,2.062,91,7.73,0,0.008,FALSE,'http2'
1752659177,19,699533.742,699533.742,0,823866,0,1.864,92,7.87,0,0.009,FALSE,'http2'
1752659179,20,699533.742,699533.742,0,825695,0,1.64,96,7.97,0,0.01,FALSE,'http2'
1752659181,21,699533.742,699533.742,0,807866,0,1.261,100,8.13,0,0.02,FALSE,'http2'
1752659184,22,599600.408,699533.742,0,819392,-99933.334,1.02,108,8.35,0,0,FALSE,'http2'
1752659186,23,599600.408,599600.408,0,756077,0,1.314,114,8.8,0,0.024,FALSE,'http2'
1752659188,24,599600.408,599600.408,0,782081,0,1.664,142,8.9,0,0.008,FALSE,'http2'
1752659191,25,299800.408,599600.408,0,623790,-299800,0.758,151,9.1,0,0,FALSE,'http2'
1752659192,26,499667.075,299800.408,0,636539,199866.667,1.439,154,9.59,0,0,FALSE,'http2'
1752659194,27,599600.408,499667.075,0,676976,99933.333,1.804,166,10,0,0,FALSE,'http2'
1752659196,28,599600.408,599600.408,0,739781,0,1.879,168,10.23,0,0.023,FALSE,'http2'
1752659198,29,599600.408,599600.408,0,753110,0,1.932,168,10.35,0,0.045,FALSE,'http2'
1752659202,30,499.875,599600.408,0,490523,-599100.533,0.092,173,10.19,0,0,FALSE,'http2'
1752659202,31,399733.742,499.875,0.139,490523,399233.867,1.962,173,10.19,0,0,FALSE,'http2'
1752659206,32,499.875,399733.742,0,313895,-399233.867,0.21,196,10.58,0,0,FALSE,'http2'
1752659206,33,199867.075,499.875,0.096,313895,199367.2,2.101,196,10.58,0,0,FALSE,'http2'
1752659214,34,499.875,199867.075,0,69074,-199367.2,0,213,11.15,0,0,FALSE,'http2'
1752659214,35,40019.251,499.875,0.077,69074,39519.376,1.316,213,11.15,0,0,FALSE,'http2'
1752659214,36,79946.895,40019.251,0,90891,39927.644,3.316,213,10.09,0,0,FALSE,'http2'
1752659215,37,99933.667,79946.895,0,130689,19986.772,5.054,288,10.09,0,0,FALSE,'http2'
1752659215,38,99933.667,99933.667,0,177455,0,6.504,288,10.09,0,0.018,FALSE,'http2'
1752659216,39,99933.667,99933.667,0,218809,0,7.956,288,10.09,0,0.009,FALSE,'http2'
1752659216,40,199867.075,99933.667,0,256193,99933.408,9.386,288,10.48,0,0,FALSE,'http2'
1752659217,41,99933.667,199867.075,0,288988,-99933.408,10.42,288,10.48,0,0,FALSE,'http2'
1752659218,42,99933.667,99933.667,0,302193,0,12.023,288,10.48,0,0.016,FALSE,'http2'
1752659218,43,99933.667,99933.667,0,315202,0,13.603,288,10.3,0,0.007,FALSE,'http2'
1752659219,44,99933.667,99933.667,0,327514,0,15.086,288,10.3,0,0.008,FALSE,'http2'
1752659219,45,99933.667,99933.667,0,338977,0,16.67,288,10.3,0,0.016,FALSE,'http2'
1752659220,46,99933.667,99933.667,0,349696,0,17.769,288,10.29,0,0.027,FALSE,'http2'
1752659222,47,99933.667,99933.667,0,358592,0,17.894,288,10.08,0,0.007,FALSE,'http2'
1752659226,48,99933.667,99933.667,0,360322,0,17.487,288,9.79,0,0.009,FALSE,'http2'
1752659227,48,999.647,99933.667,0,243805,-98934.02,15.097,288,9.79,0,0,FALSE,'http2'
1752659227,49,999.647,999.647,0,240261,0,17.038,288,9.79,0,0.538,FALSE,'http2'
1752659228,50,999.647,999.647,0,236777,0,17.503,288,9.22,0,0.012,FALSE,'http2'
1752659230,51,999.647,999.647,0,236777,0,17.643,288,8.95,0,0.009,FALSE,'http2'
1752659232,52,999.647,999.647,0,236777,0,17.518,288,8.69,0,0.006,FALSE,'http2'
1752659234,53,999.647,999.647,0,236777,0,17.925,288,8.47,0,0.007,FALSE,'http2'
1752659236,54,11992.248,999.647,0,236777,10992.601,17.352,288,8.23,0,0,FALSE,'http2'
1752659238,55,19987.346,11992.248,0,236777,7995.098,17.769,288,7.99,0,0,FALSE,'http2'
1752659240,56,40019.251,19987.346,0,246178,20031.905,17.662,288,7.79,0,0,FALSE,'http2'
1752659242,57,40019.251,40019.251,0,263278,0,17.69,288,7.6,0,0.012,FALSE,'http2'
1752659245,58,79946.895,40019.251,0,282544,39927.644,17.307,288,7.39,0,0,FALSE,'http2'
1752659246,59,99933.667,79946.895,0,312013,19986.772,17.435,289,7.21,0,0,FALSE,'http2'
1752659248,60,199867.075,99933.667,0,324327,99933.408,17.471,289,7.04,0,0,FALSE,'http2'
1752659250,61,199867.075,199867.075,0,353885,0,17.924,289,6.87,0,0.013,FALSE,'http2'
1752659252,62,299800.408,199867.075,0,383457,99933.333,17.5,289,6.71,0,0,FALSE,'http2'
1752659254,63,299800.408,299800.408,0,381764,0,17.613,289,6.53,0,0.026,FALSE,'http2'
1752659256,64,299800.408,299800.408,0,424197,0,17.783,289,6.44,0,0.007,FALSE,'http2'
1752659258,65,399733.742,299800.408,0,464154,99933.334,17.805,289,6.36,0,0,FALSE,'http2'
1752659260,66,399733.742,399733.742,0,501168,0,17.486,289,6.29,0,0.012,FALSE,'http2'
1752659262,67,399733.742,399733.742,0,537940,0,17.626,289,6.24,0,0.009,FALSE,'http2'
1752659264,68,499667.075,399733.742,0,568701,99933.333,17.803,289,6.17,0,0,FALSE,'http2'
1752659266,69,499667.075,499667.075,0,588296,0,17.93,289,6.2,0,0.031,FALSE,'http2'
1752659268,70,499667.075,499667.075,0,571405,0,17.645,289,6.22,0,0.008,FALSE,'http2'
1752659275,71,199867.075,499667.075,0,195050,-299800,12.525,289,5.88,0,0,FALSE,'http2'
1752659276,72,199867.075,199867.075,0,293679,0,13.899,289,5.88,0,0.009,FALSE,'http2'
1752659277,73,299800.408,199867.075,0,378721,99933.333,15.23,289,5.95,0,0,FALSE,'http2'
1752659283,74,199867.075,299800.408,0,141520,-99933.333,11.131,289,6,0,0,FALSE,'http2'
1752659291,75,40019.251,199867.075,0,55605,-159847.824,4.862,289,5.47,0,0,FALSE,'http2'
1752659291,76,40019.251,40019.251,0,80922,0,6.675,289,5.47,0,0.012,FALSE,'http2'
1752659291,77,79946.895,40019.251,0,102968,39927.644,8.497,289,5.45,0,0,FALSE,'http2'
1752659292,78,99933.667,79946.895,0,150269,19986.772,10.08,289,5.45,0,0,FALSE,'http2'
1752659292,79,99933.667,99933.667,0,170339,0,11.743,289,5.45,0,0.016,FALSE,'http2'
1752659292,80,99933.667,99933.667,0,189826,0,13.384,289,5.45,0,0.009,FALSE,'http2'
1752659293,81,99933.667,99933.667,0,208425,0,14.942,289,5.45,0,0.014,FALSE,'http2'
1752659293,82,199867.075,99933.667,0,226520,99933.408,16.484,289,5.83,0,0,FALSE,'http2'
1752659294,83,99933.667,199867.075,0,259869,-99933.408,17.625,289,5.83,0,0,FALSE,'http2'
1752659296,84,99933.667,99933.667,0,274541,0,17.922,289,5.87,0,0.012,FALSE,'http2'
1752659309,85,11992.248,99933.667,0,19934,-87941.419,6.561,289,5.71,0,0,FALSE,'http2'
1752659309,86,19987.346,11992.248,0,27343,7995.098,8.437,289,5.71,0,0,FALSE,'http2'
1752659310,87,19987.346,19987.346,0,39646,0,10.244,289,5.71,0,0.007,FALSE,'http2'
1752659310,88,40019.251,19987.346,0,50798,20031.905,12.059,289,5.71,0,0,FALSE,'http2'
1752659314,89,40019.251,40019.251,0,70229,0,13.751,289,5.71,0,0.036,FALSE,'http2'
1752659315,89,1998.928,40019.251,0,17035,-38020.323,8.529,289,4.77,0,0,FALSE,'http2'
1752659315,90,1998.928,1998.928,0,17820,0,10.445,289,4.77,0,0.01,FALSE,'http2'
1752659316,91,1998.928,1998.928,0,18639,0,12.35,289,4.77,0,0.014,FALSE,'http2'
1752659316,92,1998.928,1998.928,0,19439,0,14.252,289,4.77,0,0.009,FALSE,'http2'
1752659316,93,1998.928,1998.928,0,20275,0,16.156,289,4.77,0,0.009,FALSE,'http2'
1752659317,94,1998.928,1998.928,0,21020,0,16.874,289,4.5,0,0.013,FALSE,'http2'
1752659318,95,1998.928,1998.928,0,18840,0,17.812,289,4.5,0,0.854,FALSE,'http2'
1752659320,96,1998.928,1998.928,0,18840,0,17.687,289,4.27,0,0.007,FALSE,'http2'
1752659322,97,1998.928,1998.928,0,18840,0,17.827,289,4.17,0,0.011,FALSE,'http2'
1752659324,98,1998.928,1998.928,0,18840,0,17.702,289,4.06,0,0.009,FALSE,'http2'
1752659328,99,11992.248,1998.928,0,18840,9993.32,16.217,289,3.96,0,0,FALSE,'http2'
1752659329,100,11992.248,11992.248,0,18517,0,16.665,289,3.86,0,1.469,FALSE,'http2'
1752659330,101,19987.346,11992.248,0,25951,7995.098,17.535,289,3.77,0,0,FALSE,'http2'
1752659336,102,19987.346,19987.346,0,33773,0,17.131,289,3.68,0,0.014,FALSE,'http2'
