category,segment-number,filename_quic,filename_tcp,current-bitrate_quic,current-bitrate_tcp,last-bitrate_quic,last-bitrate_tcp,rebuffering_quic,rebuffering_tcp,throughput_quic,throughput_tcp,bitrate-variation_quic,bitrate-variation_tcp,buffer-length_quic,buffer-length_tcp,dropped-frames_quic,dropped-frames_tcp,cpu-pressure_quic,cpu-pressure_tcp,memory-pressure_quic,memory-pressure_tcp,latency_quic,latency_tcp,Best
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,399733.742,399733.742,399733.742,1.963,0.0,486962,528581,0.0,0.0,2.0,8.414,0,0,3.38,4.63,0.05,0.02,0.021,0.009,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,399733.742,499667.075,499667.075,0.0,2.357,474311,534275,-499167.2,-99933.333,0.0,1.887,0,0,12.39,26.91,0.0,0.0,0.0,0.0,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499667.075,399733.742,699533.742,1.771,0.0,486542,695121,0.0,-699033.867,2.0,0.0,0,0,12.32,27.32,0.0,0.0,0.024,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,499667.075,499667.075,699533.742,0.0,0.0,480543,637865,-499167.2,-699033.867,0.0,0.0,0,0,12.22,27.41,0.0,0.0,0.0,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,499667.075,499667.075,499667.075,0.0,1.816,492051,655509,-499167.2,0.0,0.0,2.0,0,0,11.26,26.98,0.01,0.0,0.0,0.029,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,3997.567,499.875,3997.567,599600.408,0.0,0.0,4788,642446,0.0,-599100.533,17.606,0.017,0,0,7.08,9.92,0.0,0.0,0.009,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499.875,399733.742,699533.742,1.635,0.0,509758,699727,0.0,-699033.867,2.0,0.0,0,0,11.82,23.37,0.02,0.0,0.028,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,999.647,499667.075,999.647,499667.075,0.023,1.971,4788,560641,0.0,0.0,2.0,2.0,0,0,9.93,21.79,0.0,0.0,0.0,0.029,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,99933.667,299800.408,399733.742,499667.075,0.0,2.813,436074,424610,-299800.075,-199866.667,0.549,2.0,0,0,7.26,20.21,0.0,0.0,0.0,0.0,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,499667.075,499667.075,499667.075,0.0,1.751,485948,652725,-499167.2,0.0,0.0,2.0,0,0,11.62,22.97,0.0,0.0,0.0,0.043,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,499667.075,399733.742,499667.075,1.935,0.0,442469,429842,-99933.334,-499167.2,2.0,0.0,0,0,12.52,21.41,0.0,0.0,0.0,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,399733.742,399733.742,399733.742,1.871,1.751,450077,503321,0.0,0.0,2.0,2.0,0,0,12.56,2.42,0.0,0.02,0.024,0.028,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,1998.928,499667.075,1998.928,499667.075,0.026,1.823,157949,636765,0.0,0.0,2.0,2.0,0,0,15.76,27.86,0.0,0.01,0.0,0.015,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,99933.667,199867.075,99933.667,699533.742,0.0,4.518,191116,324109,0.0,-499666.667,16.475,1.916,0,0,16.05,15.96,0.0,0.0,0.013,0.0,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,499.875,399733.742,499667.075,0.0,0.0,407107,611887,-399233.867,-499167.2,0.05,0.084,0,0,13.69,15.04,0.0,0.0,0.0,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,499667.075,299800.408,499.875,1.483,0.183,431359,611887,0.0,499167.2,2.0,1.915,0,3,13.85,15.04,0.0,0.0,0.011,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,499.875,199867.075,399733.742,1.309,0.0,324229,486267,0.0,-399233.867,2.0,0.241,0,0,13.88,13.96,0.11,0.0,0.029,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,399733.742,399733.742,499.875,1.738,0.134,497857,486267,0.0,399233.867,2.0,2.122,0,1,12.25,13.96,0.0,0.0,0.034,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,499.875,399733.742,299800.408,0.0,0.0,406470,345782,-399233.867,-299300.533,0.0,0.227,0,0,12.98,19.27,0.0,0.0,0.0,0.0,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,299800.408,299800.408,499.875,1.815,0.147,335579,345782,0.0,299300.533,2.0,2.095,0,2,13.19,19.27,0.0,0.0,0.036,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,499.875,399733.742,499667.075,0.0,0.0,465414,610932,-399233.867,-499167.2,0.164,0.12,0,1,12.81,15.93,0.0,0.0,0.0,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499667.075,499.875,499.875,0.19,0.181,465414,610932,399233.867,499167.2,2.025,1.941,3,4,12.81,15.93,0.0,0.0,0.0,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,499.875,399733.742,399733.742,0.0,0.0,440308,474693,-399233.867,-399233.867,0.134,0.131,0,0,14.95,13.43,0.0,0.0,0.0,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,399733.742,299800.408,499.875,2.578,0.114,234955,474693,-99933.333,399233.867,2.0,2.028,0,0,12.83,13.43,0.0,0.0,0.0,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,99933.667,299800.408,499667.075,299800.408,0.0,1.584,490657,392538,-399733.408,0.0,0.291,2.0,0,0,14.89,16.09,0.0,0.0,0.0,0.025,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499.875,399733.742,599600.408,1.847,0.0,459030,623409,0.0,-599100.533,2.0,0.0,0,0,13.9,15.89,0.0,0.0,0.029,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,499.875,499667.075,499667.075,0.0,0.0,509047,529498,-499167.2,-499167.2,0.0,0.0,0,0,13.93,13.48,0.0,0.0,0.0,0.0,0
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,699533.742,499667.075,699533.742,0.0,2.045,508577,861406,-499167.2,0.0,0.0,1.916,0,0,15.07,23.9,0.0,0.0,0.0,0.048,1
midband-drive,1,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,699533.742,399733.742,699533.742,1.579,1.91,550792,926442,0.0,0.0,2.0,2.0,0,0,13.69,21.99,0.0,0.0,0.037,0.036,1
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,399733.742,399733.742,399733.742,0.0,0.0,461823,503416,0.0,0.0,1.935,1.619,0,3,3.82,26.38,0.05,0.0,0.01,0.026,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,599600.408,499.875,499667.075,0.161,0.15,474311,695121,399233.867,599100.533,1.539,1.387,5,3,12.39,27.32,0.0,0.0,0.0,0.0,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499667.075,399733.742,499667.075,0.0,0.2,450956,637865,0.0,499167.2,1.94,1.305,0,4,12.34,27.41,0.0,0.0,0.014,0.0,1
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499667.075,499.875,499667.075,0.147,0.0,480543,570324,399233.867,0.0,1.612,1.678,4,2,12.28,26.55,0.0,0.0,0.0,0.01,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499667.075,499.875,499.875,0.155,0.201,492051,642446,399233.867,499167.2,1.57,1.835,3,3,11.26,10.48,0.01,0.0,0.0,0.0,1
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,3997.567,599600.408,3997.567,499.875,0.0,0.144,4788,699727,0.0,599100.533,17.567,1.231,0,0,7.08,23.37,0.0,0.0,0.012,0.0,1
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,399733.742,499667.075,0.0,0.0,353866,527233,-99933.334,-99933.333,1.16,1.666,5,2,11.72,21.93,0.02,0.0,0.0,0.0,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,999.647,299800.408,999.647,299800.408,0.0,0.0,2043,399670,0.0,0.0,4.0,2.04,0,0,9.93,20.21,0.0,0.0,0.0,0.174,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499667.075,99933.667,499667.075,0.0,0.0,445736,588768,299800.075,0.0,1.865,1.913,2,2,7.26,23.23,0.0,0.0,0.0,0.013,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,299800.408,499.875,499667.075,0.156,0.287,485948,429842,399233.867,299300.533,1.617,1.048,4,2,11.62,21.41,0.0,0.0,0.0,0.0,1
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,299800.408,299800.408,399733.742,0.0,0.0,426637,432992,0.0,-99933.334,2.363,1.635,0,2,12.27,3.02,0.0,0.02,0.048,0.0,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,399733.742,499667.075,0.0,0.0,436321,521107,-99933.334,-99933.333,1.872,1.267,0,4,12.25,27.53,0.0,0.01,0.0,0.0,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,1998.928,199867.075,1998.928,199867.075,0.0,0.0,157949,307517,0.0,0.0,4.0,2.307,0,0,15.57,15.93,0.0,0.0,0.01,0.014,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,99933.667,499.875,99933.667,499667.075,0.0,0.0,207559,611290,0.0,-499167.2,15.483,0.0,0,3,16.11,15.23,0.0,0.0,0.008,0.0,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,499.875,499.875,399733.742,0.171,0.0,407107,506685,299300.533,-399233.867,1.896,0.231,4,1,13.69,14.0,0.0,0.0,0.0,0.0,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,499.875,299800.408,299800.408,0.0,0.0,382361,352541,0.0,-299300.533,2.335,0.12,0,2,13.52,19.09,0.0,0.0,0.022,0.0,1
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,499.875,199867.075,499667.075,0.0,0.0,283380,639507,0.0,-499167.2,2.407,0.048,0,4,13.88,16.06,0.11,0.0,0.02,0.0,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499.875,399733.742,399733.742,0.0,0.0,445654,478115,0.0,-399233.867,1.925,0.0,0,4,12.18,13.51,0.0,0.0,0.024,0.0,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,299800.408,499.875,299800.408,0.161,0.0,406470,352306,299300.533,0.0,1.768,2.111,7,1,12.98,16.09,0.0,0.0,0.0,0.018,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,499667.075,299800.408,499.875,0.0,0.164,317196,623409,-99933.333,499167.2,1.903,1.807,0,3,13.12,15.89,0.0,0.0,0.0,0.0,1
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,399733.742,399733.742,499.875,0.0,0.197,487337,529498,-399233.867,399233.867,0.07,1.821,3,5,12.91,13.48,0.0,0.0,0.0,0.0,1
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,499.875,699533.742,299800.408,699533.742,0.0,0.0,408259,854370,-299300.533,0.0,0.164,1.587,4,2,15.11,23.74,0.0,0.0,0.0,0.012,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,699533.742,199867.075,699533.742,0.0,0.0,243340,802784,0.0,0.0,2.397,1.464,0,2,12.9,21.86,0.0,0.0,0.018,0.1,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,699533.742,99933.667,699533.742,0.696,0.0,491557,883090,299800.075,0.0,1.622,1.617,1,2,15.39,22.76,0.0,0.0,0.0,0.063,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,699533.742,399733.742,699533.742,0.0,0.0,438584,869356,-99933.334,0.0,1.854,1.635,1,3,13.97,22.72,0.0,0.0,0.0,0.03,0
midband-drive,2,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,699533.742,499.875,699533.742,0.245,0.0,509047,880506,399233.867,0.0,1.663,1.574,5,1,13.93,22.12,0.0,0.0,0.0,0.014,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,499667.075,399733.742,399733.742,0.0,0.0,411040,572779,-99933.334,99933.333,1.371,6.664,7,0,4.35,4.63,0.05,0.02,0.0,0.0,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,399733.742,399733.742,399733.742,0.0,0.0,450753,468570,0.0,0.0,1.314,1.437,10,4,12.47,26.56,0.0,0.0,0.03,0.031,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,399733.742,399733.742,599600.408,0.0,0.0,466930,670535,0.0,-199866.666,1.933,0.829,1,11,12.53,26.88,0.0,0.0,0.028,0.0,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,399733.742,399733.742,499667.075,0.0,0.0,492848,624377,0.0,-99933.333,1.593,1.034,10,15,12.24,27.17,0.0,0.0,0.031,0.0,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499667.075,399733.742,499667.075,0.0,0.0,484158,564574,0.0,0.0,1.585,1.488,8,4,11.45,26.86,0.01,0.0,0.034,0.027,0
